,user_id,rec
60,77,"[981760, 8176840, 967065, 966348, 919118]"
61,78,"[826578, 13775274, 999207, 6533681, 13115497]"
62,79,"[6533889, 864741, 15926886, 15925334, 13213604]"
63,80,"[933599, 929605, 9926758, 1005186, 861819]"
64,81,"[1076769, 1077057, 1082045, 7410219, 13190390]"
65,82,"[12731299, 12599756, 984511, 1045285, 15452409]"
66,83,"[840361, 1075214]"
67,84,"[5565369, 6034966, 1079292, 830887]"
68,85,"[939770, 9883760, 14025731, 14106445, 1018298]"
69,86,"[971922, 1106523, 951590, 1101010]"
70,87,"[953154, 1008820, 1108935, 1036927, 1030755]"
71,88,"[981760, 1042341, 949408, 963676, 965982]"
72,90,"[835280, 923789, 12524365, 6464166, 6424464]"
73,91,"[838637, 6534178, 13133787, 1113667, 1109638]"
74,92,"[1059891, 828713, 991092, 12171110, 6979005]"
75,94,"[1014116, 1030320, 15800863, 9925966, 5592681]"
76,95,"[6534178, 6534178, 13506016, 13877256, 14025033]"
77,97,"[1083111, 902659, 13416783, 7441102, 1099164]"
78,98,"[921836, 921836, 8019681, 12648967, 15597131]"
79,99,"[920288, 956200, 5591103, 1080110, 945294]"
80,100,"[828713, 1034838, 840640, 1054644, 1057256]"
81,101,"[821083, 6534178, 13213241, 13213241, 13213108]"
82,103,"[930545, 1004122, 7409845]"
83,104,"[1097610, 6039787, 1019099, 16809649, 17178955]"
84,105,"[18119016, 10149761, 1010019, 854520, 7410051]"
85,106,"[890610, 890610, 6534178, 992128, 842995]"
86,107,"[916381, 1037840]"
87,109,"[852035, 1046756, 1103975, 12384564, 903443]"
88,110,"[947107, 6534178, 12648294, 1065211, 12648607]"
89,111,"[927004, 12263027, 13095292, 840601, 6602327]"
90,112,"[6534178, 909972, 12384177, 8160474, 996701]"
91,113,"[1089766, 9676820, 838867, 16729299, 13512760]"
92,114,"[6979221, 15687114, 6463523, 6463607, 907861]"
93,115,"[981760, 989275, 1110721, 1093922, 1060437]"
94,116,"[5588290, 923746, 1037863, 850058]"
95,117,"[13877113, 1053474, 995598, 991580, 942151]"
96,118,"[1060388, 1030182, 1100125, 6554517, 6772859]"
97,119,"[15972392, 879280, 9526628, 1092748, 1019078]"
98,121,"[1055168, 1052512, 17329465, 821134, 15926887]"
99,122,"[987964, 1026578, 1053176, 7409971, 9419525]"
100,123,"[981760, 1128240, 15629778, 13007398, 1006474]"
101,124,"[929433, 844179, 833025, 833025, 1035676]"
102,125,"[6534178, 901557, 12987975, 13416351, 12385477]"
103,126,"[12781558, 1019247, 962185, 898068]"
104,127,"[6534178, 12324954, 8249559, 6554865, 1048849]"
105,128,"[981760, 1114050, 15741484, 847241, 5995289]"
106,131,"[851241, 945858, 920455, 997725, 998424]"
107,132,"[9926758, 13511413, 12524510, 13512708, 1139216]"
108,133,"[826597, 1024319, 6513604, 1029664, 14025464]"
109,134,"[12988308, 9419443, 842407, 862335, 940090]"
110,135,"[918150, 1004270, 879876, 1063207, 13115813]"
111,136,"[15830318, 923705, 1035536, 1046336, 1057513]"
112,138,"[5569919, 1086318, 1083554, 1052291, 1031099]"
113,139,"[834129, 6979393, 8181048, 9575582, 12731488]"
114,140,"[1132248, 892531, 951821, 5591083, 832678]"
115,141,"[1039287, 913116, 917249, 1026754, 1121808]"
116,142,"[891118, 14050714, 1124342, 925238, 15925334]"
117,143,"[859121, 7442303, 1094004, 1073839, 7442303]"
118,146,"[845163, 893867, 913406, 1092149, 13115561]"
119,151,"[6602199, 879769, 970941, 1035143, 1088544]"
120,153,"[852412, 10254581, 13190284, 10285243, 912280]"
121,156,"[1083254, 943513, 1030981, 15511929, 10311595]"
122,157,"[12524174, 995055, 9527256, 826571, 854031]"
123,158,"[1010590, 1035321, 10341697, 1129819, 904021]"
124,159,"[6979048, 12524589, 1126922, 9829787, 966070]"
125,160,"[6534178, 900586, 15569954, 13115919, 12781564]"
126,161,"[1056509, 868683, 981760, 1052066, 12352054]"
127,162,"[830245, 9553347, 13094723, 13512060, 16733789]"
128,164,"[5978656, 937725, 1074933, 1072787, 1056635]"
129,166,"[826580, 9488065, 13212996, 13213339, 13213357]"
130,167,"[828987, 869683, 12301390, 9677564, 6602447]"
131,168,"[1110843, 878996, 1004906, 921504, 1029743]"
132,169,"[1099164, 12757316, 1037894]"
133,171,"[907625, 933354, 1041459, 1066641, 5978656]"
134,172,"[853265, 917459, 1022805, 1044500, 1123467]"
135,174,"[15483282, 944599, 1065035, 1061747, 1052335]"
136,178,"[875686, 13008042, 976651, 1122790, 1134196]"
137,183,"[1049826, 1123407, 9487780, 15926712, 1051069]"
138,184,"[981760, 6534178, 15481844, 9337142, 898586]"
139,185,"[12301109, 15596705, 926959, 1074271, 1039126]"
140,187,"[17248718, 6633276, 15926775, 971949, 908531]"
141,188,"[1081310, 847982, 879755]"
142,190,"[832675, 888269, 922096, 943943, 1062630]"
143,191,"[981082, 994955, 1015474, 1039156]"
144,192,"[15483291, 1024345, 890344, 931387, 943897]"
145,193,"[998270, 9420067, 16769934, 1117067, 1134483]"
146,194,"[12987861, 6704069, 1034956, 10341697, 831296]"
147,195,"[981760, 981760, 6534178, 1042765, 13504412]"
148,196,"[880363, 970747]"
149,197,"[1126899, 1016182, 868522, 12599655, 7462562]"
150,198,"[883218, 1123146, 6463729, 6463826, 8090653]"
151,199,"[849843, 936634, 904537, 9523058, 12947679]"
152,200,"[930440, 848878, 898601, 909894, 1058997]"
153,201,"[12810400, 8359154, 5565352, 1069635, 850028]"
154,202,"[15452631, 983897, 1111719, 1086740, 1079541]"
155,203,"[1022025, 1065386, 861063, 1056778, 17290722]"
156,204,"[1110331, 12172145, 9368203, 948622, 5564906]"
157,205,"[871188, 1006649, 1038692, 1038745, 1084036]"
158,208,"[981760, 830304, 1015781, 10311943, 13877287]"
159,209,"[1091865, 1042823, 951164, 1118757, 1130666]"
160,210,"[1108092, 1128240, 12810393, 839753, 1035144]"
161,211,"[958826, 1115098, 847962, 996259, 987734]"
162,212,"[830677, 964462, 1087547, 875118, 884020]"
163,213,"[847434, 905336, 951665, 971962, 12385918]"
164,214,"[821032, 12782182, 1105478, 907141, 852163]"
165,215,"[895540, 895540, 981760, 6533419, 973657]"
166,216,"[874832, 895540, 974204, 866227, 6533936]"
167,217,"[1046756, 6534178, 933822, 1044599, 1049788]"
168,218,"[883732, 969725, 993430, 1036930, 1053924]"
169,219,"[981760, 981760, 1010840, 13007356, 14077523]"
170,220,"[12644913, 1015280, 1110697, 5574108, 13417048]"
171,221,"[867667, 981760, 998558, 836883, 888004]"
172,222,"[847066, 1066380, 1124520, 12781238, 13213480]"
173,224,"[1036431, 845265, 850925, 860824, 912117]"
174,225,"[849297, 927277, 942294, 987122, 1019722]"
175,226,[6534178]
176,227,"[1133877, 898601, 6396561, 5995939, 968036]"
177,228,"[893118, 909510, 1101725, 10121646, 926804]"
178,230,"[12384204, 5564948, 6633224, 1089568, 839766]"
179,232,"[13910669, 1044655, 1033707, 920070, 937571]"
180,233,"[9297461, 1130908, 1027642, 1006063, 1002438]"
181,235,"[852035, 8019286, 12257397, 13381540, 13094723]"
182,236,"[834236, 974549, 997272, 1035526, 1072405]"
183,239,"[946793, 910374, 12600845, 1136593, 16809471]"
184,240,"[925164, 15775023, 842407, 872755, 1099058]"
185,241,[921288]
186,242,"[5995158, 899565, 928555, 1121676, 1109136]"
187,243,"[880530, 8020205, 12262886, 6773183, 6602354]"
188,244,"[1108092, 17901205, 964704, 7168754, 5563934]"
189,245,[1404121]
190,246,"[895743, 959638, 5568191, 1132968, 1078008]"
191,247,"[854056, 947147, 9676837, 1110975, 1009631]"
192,248,[6534178]
193,249,"[15926886, 1029743]"
194,250,"[12301109, 847374, 1120970, 13213060, 12524034]"
195,251,"[849274, 923767, 13945181, 1074271, 1126085]"
196,252,"[842819, 1124729, 964356, 1051069]"
197,253,"[822161, 984054, 998984, 1020739, 1035536]"
198,254,"[6534552, 17827241, 982493, 831536]"
199,256,"[12385569, 9297017, 937573, 941671, 9194415]"
200,257,"[1007244, 1051510, 1113820, 1128126, 16809471]"
201,258,"[872755, 1006386, 6979518, 15926712, 15926844]"
202,259,"[819487, 13007994, 15927033, 15596617, 881101]"
203,260,"[1027642, 1045586, 12263604, 9242345, 1134790]"
204,262,"[12384775, 859075, 1136257, 1043751, 1040807]"
205,263,"[894511, 867667, 956397, 901460, 903123]"
206,264,"[932956, 937444, 1068750, 1104695, 9836415]"
207,265,"[993544, 901067, 1017446, 5582370]"
208,266,"[981760, 15452620, 972191, 6034379, 1122250]"
209,267,"[901976, 929373, 954809, 5978656, 1101771]"
210,268,"[850159, 868147, 869903, 1064752, 1083341]"
211,269,"[981760, 12384805, 1031633, 1068830, 7409644]"
212,270,"[981760, 974336, 12523982, 965562, 968411]"
213,271,"[9913338, 981760, 9487606, 8090521, 8090521]"
214,273,"[965370, 969039, 13115501, 12188582, 9487498]"
215,274,"[907860, 926804, 894236, 1084177, 857849]"
216,275,"[828588, 6533765, 16734322, 861485, 6463451]"
217,276,"[6534178, 847803, 1038174, 1053924, 6773196]"
218,278,"[835300, 992933, 953622, 12324954, 828278]"
219,280,"[6534178, 6534178, 977266, 1106523]"
220,281,"[14025185, 1109014, 833025, 5585510, 1055504]"
221,282,"[1050272, 9676991, 919535, 6534178, 13382529]"
222,283,"[824072, 954419, 15596389, 9931450, 9802972]"
223,284,"[1101173, 12301405, 996156, 15506577]"
224,285,"[981760, 10341697, 878739, 878739, 15973289]"
225,286,"[869333, 1103513, 10198378, 15452093, 1119051]"
226,287,"[865392, 926025, 985742, 1046201, 1052155]"
227,288,"[1042697, 929279, 1114916, 6534178, 5995474]"
228,289,"[981760, 989824, 6533889, 6919377, 6632318]"
229,290,"[838794, 950030, 9858795, 7160764, 6919511]"
230,291,"[1113588, 1113588, 1113588, 5568378, 13876630]"
231,292,"[981760, 1082544, 1119942, 5565612, 16809471]"
232,294,"[15596705, 897088, 9245108, 1101725, 1095669]"
233,297,"[10121616, 15596948, 835819, 870165, 919489]"
234,300,"[845013, 10312352]"
235,301,"[969744, 12428436, 16223127, 16221110, 16220944]"
236,302,"[1064380, 6424344, 12648967, 1058591, 1071355]"
237,303,"[1061688, 1039796, 885307, 15483490, 823356]"
238,304,"[6463826, 892936, 1086740, 1124323, 1138854]"
239,305,"[937725, 835943, 15630136, 14025678, 9858847]"
240,306,"[876314, 1006188, 1003472, 975180, 947553]"
241,307,"[889731, 1016302, 1114791, 14111322, 1084591]"
242,308,"[821741, 824022, 13777225, 12301337, 10285096]"
243,311,"[823862, 15716277, 1112736, 6534178, 1106162]"
244,312,"[844792, 1110743, 15927033, 15741667, 15630089]"
245,314,"[1107089, 1068562, 919126, 1057931, 982955]"
246,316,"[866755, 15681692, 1125891, 13007531, 13909964]"
247,317,"[842783, 893617, 1078717, 1035836, 1018151]"
248,318,"[977481, 944178, 9526894, 1106301, 952981]"
249,321,"[841683, 8292941, 1049695, 990897, 927019]"
250,322,"[941734, 1030040, 1096810, 1097792, 9419401]"
251,323,"[9187423, 910964, 912817, 826666, 931608]"
252,324,"[839075, 1101960, 13007398, 13007122, 12696089]"
253,325,"[835694, 985587, 1023815, 1026891, 1079878]"
254,326,"[8090521, 8090521, 1118787, 1111839, 838571]"
255,327,"[958492, 1132204, 13133762, 13134039, 14110961]"
256,328,"[15741426, 954963, 853235, 844230, 1001412]"
257,329,"[948102, 17320081, 888119, 951414, 965444]"
258,330,"[1118481, 950871, 14025185, 8181556, 861021]"
259,331,"[833465, 861341, 1035121, 1086732, 821730]"
260,332,"[852035, 15741703, 1132006, 8160430, 7167945]"
261,333,[899624]
262,334,"[839438, 942556, 13910838, 1055427, 9884034]"
263,338,"[5978648, 854920, 861485, 870871, 15595931]"
264,339,"[896958, 1069538, 840361, 1106523, 1133018]"
265,342,"[854716, 1080784, 847982, 1000753, 854852]"
266,343,"[954673, 13987352, 1048955, 13040242, 9575167]"
267,345,"[837579, 13986393, 7410336, 12604037, 12604037]"
268,346,"[981760, 981760, 819549, 955850, 1026890]"
269,347,"[834102, 961851, 1051288, 1086352, 7115533]"
270,348,"[18055205, 8203495, 1009518, 1069614, 1096261]"
271,349,"[889649, 824305, 5995027, 869604, 909800]"
272,350,"[1106523, 1044078]"
273,351,"[1077133, 16770156, 931635, 992237, 1007561]"
274,353,"[16769948, 841024, 1090336, 9885206, 948086]"
275,354,"[971540, 942341, 5978656, 5567057, 1112667]"
276,356,"[1131506, 934112, 5979276, 900185, 1110793]"
277,357,"[10344586, 833940, 1040347, 10457112, 1100137]"
278,358,"[862010, 7409914, 16036665, 1072843, 1086384]"
279,360,"[15863737, 843487, 1031831, 6979518, 7410086]"
280,361,"[849559, 1016195, 15596998, 15483490, 12582361]"
281,362,"[826816, 15597131, 7409663, 1132968, 1128395]"
282,364,"[832249, 1038894, 874820, 938122, 1097422]"
283,365,"[981760, 956672, 17178832, 9836622, 9527558]"
284,366,"[1037635, 1019594, 8357552, 1108488, 1093444]"
285,367,"[13190320, 997979, 828114, 830775, 840322]"
286,369,"[870412, 1095374, 1053338, 1038745, 1021133]"
287,371,"[981760, 1104058, 1056427, 836758, 827671]"
288,373,"[9926758, 999779, 986912, 883404, 1094955]"
289,374,"[834911, 1082955, 6979393, 6395928, 985699]"
290,375,"[1058021, 15452032, 885023]"
291,376,"[894591, 12781725, 927498, 1068745, 12262992]"
292,377,"[994223, 8249249, 959985, 1013641, 1138443]"
293,378,"[838147, 1021164, 16769555, 10150194, 9859060]"
294,380,"[830965, 839605, 9296856, 1075786, 1050534]"
295,381,"[16058653, 1106592, 955431, 985608, 989195]"
296,382,"[1106523, 7025496, 7025202, 6463899, 1041572]"
297,383,"[993680, 829722, 6463480, 6463453, 1133191]"
298,384,"[1076440, 1065496, 15971883, 1069521, 851394]"
299,385,"[1069899, 7144189, 9521787, 15452502, 18107424]"
300,386,"[1035836, 5565866, 13115667, 930335, 7143437]"
301,387,"[981760, 870424, 1010185, 17238796, 822259]"
302,388,"[970119, 821219, 826067, 6424447, 13416351]"
303,389,"[18022247, 1099270, 1071307, 1086103, 5978648]"
304,390,"[927860, 1081533, 869195, 1058243, 1064542]"
305,392,"[862010, 981760, 1110255, 1100049, 943362]"
306,393,"[847738, 941943, 15717306, 872065, 1023160]"
307,394,"[827261, 12696089, 1026292, 942305, 908775]"
308,395,"[842366, 1031519, 5592990, 15629778, 15630096]"
309,396,"[15740869, 1114604, 994163, 1058115, 7442182]"
310,397,"[6534178, 13417846, 15863917, 1027664, 1015280]"
311,398,"[8090521, 989824, 15778487, 969846, 9655629]"
312,400,"[853354, 843935, 1081944, 1075275, 1072685]"
313,401,"[1124729, 1124729, 1124729, 1124729, 1068957]"
314,402,"[15863854, 16731067, 15717041, 15800869, 15716669]"
315,404,"[917646, 944419, 1033751, 1051460, 1087341]"
316,405,"[15924952, 906883, 9297229, 17902939, 17903055]"
317,406,"[17283099, 1117669, 1076373, 9365756, 954355]"
318,407,"[5568661, 5568661, 908531, 995242, 883404]"
319,409,"[852035, 6534178, 9676866, 12524925, 13511762]"
320,410,"[1049897, 850925, 13002975, 834391, 992951]"
321,411,"[1080758, 879948]"
322,412,"[5569956, 1005186, 1106422, 1139569, 12524001]"
323,413,"[830304, 836793, 5565352, 14050731, 10204393]"
324,414,"[17900896, 1048325, 8067128, 1105120, 1105856]"
325,415,"[832442, 9553184, 864893, 12132257, 1137273]"
326,417,"[17291608, 7409941, 1059473, 7410015, 1022299]"
327,418,"[981760, 826597, 6534178, 6979808, 7025046]"
328,420,"[935990, 961747, 18119016, 1029743]"
329,421,"[869465, 911159, 1027102, 991874, 963676]"
330,425,"[958826, 873160, 875396, 872461, 866548]"
331,426,"[6534178, 881047, 962161, 834952, 1000204]"
332,427,"[1042476, 938366, 1118632, 1118632, 1112882]"
333,429,"[17291203, 833025, 833025, 1056509, 1056509]"
334,430,"[986612, 13008002, 17959243, 847186, 853448]"
335,432,"[919596, 13115468, 1072290, 5583623, 13115582]"
336,433,"[1089392, 1013531, 1138854, 10254167, 995151]"
337,434,"[1039876, 1121410, 9526672, 10284972, 12811580]"
338,435,"[8090521, 8090521, 8090521, 8090521, 8090521]"
339,437,"[828219, 829802, 839225, 889632, 890010]"
340,438,"[1062863, 5571320, 16208129, 15596586, 15552482]"
341,441,"[6391064, 13189554, 17214733, 948662, 1048811]"
342,442,"[6534178, 928092, 988009, 5978656, 1042345]"
343,443,"[1029372, 15972152, 15972115, 1100666, 927737]"
344,446,"[937909, 6961601]"
345,447,"[1043377, 1138125, 947326, 12582414, 879445]"
346,449,"[971922, 971922, 957063, 819927, 921744]"
347,450,"[1005186, 1055337, 13039933, 907892, 1009969]"
348,451,"[1037000, 1104035, 1037000, 1077281, 1031447]"
349,454,"[981760, 1112593, 12524732, 935993, 980433]"
350,457,"[838369, 1004097, 1047523, 952781, 13213410]"
351,458,"[1099058, 1088858, 1089568, 951203, 17249717]"
352,459,"[863762, 883400, 890620, 933809, 977873]"
353,460,"[981760, 826385]"
354,461,"[15716967, 1049822, 1049822, 969703, 924273]"
355,462,"[887744, 1008845, 1135578, 13213034, 13841744]"
356,463,"[1118757, 1036093, 9245336, 838797, 6534166]"
357,464,"[15926882, 16769626, 13115517, 868727, 869500]"
358,466,"[10341697, 859191, 832001]"
359,467,"[1021562, 7167945, 15595872, 1110692, 1135886]"
360,468,"[1108092, 819423, 9677163, 6772859, 1018597]"
361,469,"[6534178, 847219, 13039959, 1022757, 1042356]"
362,470,"[995722, 986596, 1119784, 908314, 1119784]"
363,471,"[16809685, 1133654, 13877311, 982799, 1008214]"
364,474,"[935951, 1030093, 1084591, 1129819, 7147145]"
365,477,"[869872, 1001728, 7167837, 13115579, 879755]"
366,478,"[1110843, 8090440]"
367,479,"[9704801, 13986236, 17214936, 6773108, 10149868]"
368,480,"[5582540, 9245312, 12582156, 17249340, 1139830]"
369,482,"[15926863, 923235, 9837100, 835715, 887984]"
370,483,"[7409911, 7410198, 879755, 1118393, 1055863]"
371,484,"[970760, 7099176, 833940, 836548, 9655696]"
372,485,"[852035, 1109370, 910151, 1033769, 1122536]"
373,487,"[921863, 7169034, 10285365, 906763]"
374,489,"[862010, 981760, 981760, 1077430, 899446]"
375,491,"[839358, 17901146, 15596705, 15452032, 12170996]"
376,493,"[6534178, 1070276, 1083856, 1139835, 5565866]"
377,495,"[833241, 899201, 1092424, 1006250, 927737]"
378,497,"[911088, 1042083, 6424447, 14019790, 837304]"
379,502,"[828055, 1028885, 901976, 899655, 875089]"
380,503,"[10182829, 5978656, 842698, 1124505, 1026945]"
381,505,"[7409663, 13213480, 962991, 1127716]"
382,506,"[892531, 1081853, 927004, 956067, 975180]"
383,507,"[6632589, 1043730, 15716719, 15716445, 15596933]"
384,508,"[822259, 976480, 1006664, 1104649, 13512017]"
385,510,"[9837404, 878222, 6919121, 1105769, 1018505]"
386,511,"[6919087, 1109553, 15925181, 988824, 878215]"
387,513,"[833870, 971807, 1089888, 6534573, 846463]"
388,514,"[950133, 835476, 12781991, 12781886, 7410341]"
389,515,"[858478, 898601, 1066893, 5591538, 995242]"
390,516,[1125420]
391,517,"[15973164, 1057855, 1106872, 1135573, 923590]"
392,518,"[905817, 946375, 6443350, 6391557, 5583751]"
393,520,"[1107373, 7082640, 5580166, 1039505, 911609]"
394,521,"[15741839, 9797050, 12517450, 8203601, 1051741]"
395,523,"[1004867, 1087895, 6534178, 6534178, 888104]"
396,524,"[6553571, 1120532, 1130517, 923746, 1133018]"
397,525,"[845975, 952408, 985613, 1017472, 1116624]"
398,526,"[874650, 821930, 6904459, 8293805, 889836]"
399,527,"[822226, 12673243, 877383, 17974316, 15717071]"
400,531,"[981760, 1072297, 1086763, 849274, 870826]"
401,533,"[5592455, 1015805, 16809471, 16766358, 12781238]"
402,534,"[6533765, 997441, 1050699, 1102759, 890862]"
403,537,"[1232641, 1240227, 1293080, 9297917, 9886877]"
404,538,"[821025, 12352204, 1117403, 1110031, 15972790]"
405,539,"[981760, 6534178, 5978648, 5978648, 16829152]"
406,540,"[887220, 954209, 9420282, 9836912, 13876669]"
407,542,"[1016931, 1066783, 1068830, 1069582, 1086233]"
408,543,"[1016260, 862651, 933645, 949377, 990256]"
409,544,"[7410343, 6919239, 5569319, 12518330, 9445916]"
410,545,"[822848, 1135788, 1062283, 1070076, 1080706]"
411,547,"[16807289, 907061, 1023444, 985524, 978306]"
412,548,"[981760, 987724, 1139023, 1068832, 1041766]"
413,550,"[12781975, 9419530, 7167793, 1088294, 1031884]"
414,552,"[838396, 6772702, 1045966, 1053733, 1105034]"
415,553,"[849297, 1017369, 1039126, 1048299, 1062404]"
416,554,"[17171649, 9677874, 924014, 15452355, 1072086]"
417,556,[6544236]
418,557,"[881443, 9526709, 9526986]"
419,558,"[5563934, 1038728, 1072693, 888543, 16809471]"
420,560,"[14112002, 6961492, 832221, 891426, 939965]"
421,562,"[981760, 8090560, 1111236, 1123035, 1108854]"
422,563,"[822944, 869868, 972041, 823565, 976475]"
423,564,"[973854, 1005186, 15660114, 987480, 1110572]"
424,566,"[891405, 928833, 931757, 1044472, 5592990]"
425,567,"[10203855, 885655, 1029171, 954545, 13212996]"
426,568,"[894511, 1043971, 1060316, 1014458, 1099905]"
427,569,"[1071244, 8293159, 838524, 1120963, 6039740]"
428,570,"[9803678, 5587623, 1064002, 1035222, 926900]"
429,574,"[1056762, 908493, 1064550, 15741870, 15927714]"
430,575,"[855718, 7148384, 12385922, 12988119, 1070727]"
431,576,"[874820, 912141, 937276, 5580577, 8203495]"
432,577,"[981760, 913794, 960613, 1011046, 1028766]"
433,578,"[8090521, 8090521, 937789, 976270, 1068451]"
434,579,"[821219, 912451, 15831480, 7466903, 1077439]"
435,580,"[1074738, 1101822, 916578, 944249, 1118946]"
436,581,[13157899]
437,582,"[893721, 1121533, 857540, 13944858, 1135295]"
438,583,"[5592390, 1109805, 1100164, 6704127, 1108168]"
439,586,"[885686, 898264, 1017195, 853119, 945611]"
440,587,"[1035321, 937406, 1037560, 1079048, 1112761]"
441,588,"[1036431, 1036431, 1024426, 10204333, 1005186]"
442,590,"[1108092, 15596303, 931606, 865510, 859121]"
443,591,"[6533765, 6534178, 1007549, 1094955]"
444,593,"[50032, 51832, 54205, 57390, 61977]"
445,594,"[15831255, 1004341, 5978648, 15717057, 16219303]"
446,595,"[852035, 5589821, 14025555, 15973172, 1110793]"
447,596,"[1006184, 831407, 15716719, 862642, 924299]"
448,598,"[862010, 981760, 981760, 849697, 1115006]"
449,600,"[846362, 989931, 1110483, 1129000, 13842100]"
450,602,"[981760, 17827241, 1061943, 1098694, 1004097]"
451,603,"[17168855, 945909, 17168855, 12172070, 9926758]"
452,604,"[12757053, 9859183, 10150194, 15597021, 16809589]"
453,605,"[981760, 856790, 5978656, 7467045, 884039]"
454,606,"[896283, 1014251, 924427, 928036, 933354]"
455,608,"[9677617, 846833, 12263439, 13877020, 13877096]"
456,609,"[6534178, 949616]"
457,610,"[847962, 875089, 1081177, 909396, 1027068]"
458,611,"[973916, 940090, 9859112, 13190320, 13416485]"
459,612,"[894511, 894511, 6391073, 820895, 826695]"
460,613,"[993617, 957345, 1076157, 1087832, 958233]"
461,614,"[15737472, 948651, 906211, 1066657, 885447]"
462,615,"[15715907, 15596177, 991230, 15452266, 13505940]"
463,617,"[12810393, 15777852, 1068832, 13008079, 9297194]"
464,618,[916260]
465,621,"[874530, 948651, 977268, 959022, 1039796]"
466,622,"[1049906, 9832156, 13213202, 8181159, 12696013]"
467,623,"[1008673, 1043895, 1008673, 6442908, 874736]"
468,624,"[981760, 832937, 1111207, 940842, 826690]"
469,630,"[13189981, 6534178, 10285243, 13417590, 880895]"
470,631,"[848071, 981760, 852035, 1092118, 1104761]"
471,632,"[821083, 6534178, 5567319, 7442056, 9706123]"
472,633,"[6534166, 982799, 15741861, 15452805, 13213309]"
473,636,"[848471, 947658, 985622, 950441, 946055]"
474,637,"[981760, 1019099, 1011572, 1136241, 937454]"
475,638,"[1065380, 862335, 13382308, 1053530, 1031906]"
476,640,"[13115849, 986787, 1046825, 1075178, 1138710]"
477,641,"[13513000, 10285243, 847374, 832675, 10284931]"
478,643,"[15596872, 822892, 987224, 933934, 1017055]"
479,644,"[1108689, 15687013, 15972152, 15972115, 15716429]"
480,647,"[1006184, 849003, 1116096, 1043920, 15926886]"
481,648,"[852035, 829645, 922961, 845955, 17105007]"
482,650,"[1456658, 1618438, 10200600, 9570283, 6397437]"
